T,cp1,cp2,cp3,cp_avg,cp_min,cp_max
200,1.1131772222222223,1.0769045849802372,1.1580751778656126,1.1160523283560242,1.0769045849802372,1.1580751778656126
210,1.1314636633663366,1.0951791287128714,1.1977866534653465,1.1414764818481848,1.0951791287128714,1.1977866534653465
220,1.1555758415841584,1.12595299009901,1.248016910891089,1.1765152475247524,1.12595299009901,1.248016910891089
230,1.1784822178217822,1.1514521782178218,1.276658531746032,1.202197642595212,1.1514521782178218,1.276658531746032
240,1.1997348514851485,1.1721364484126984,1.292491920792079,1.221454406896642,1.1721364484126984,1.292491920792079
250,1.2187077623762375,1.1888971485148516,1.3056406534653464,1.237748521452145,1.1888971485148516,1.3056406534653464
260,1.2347332673267326,1.2041613069306931,1.3203238613861383,1.2530728118811882,1.2041613069306931,1.3203238613861383
270,1.2519597227722772,1.2197153267326732,1.3384787524752475,1.2700512673267328,1.2197153267326732,1.3384787524752475
280,1.2717383168316831,1.2357018217821785,1.3578275445544554,1.2884225610561055,1.2357018217821785,1.3578275445544554
290,1.2896477623762375,1.2529739009900989,1.3746311287128712,1.3057509306930692,1.2529739009900989,1.3746311287128712
300,1.3063484554455445,1.2688951683168317,1.3893576039603959,1.3215337425742575,1.2688951683168317,1.3893576039603959
310,1.3233502970297029,1.2842975841584157,1.4042684158415841,1.337305432343234,1.2842975841584157,1.4042684158415841
320,1.3403498415841582,1.2968142574257426,1.4216284356435644,1.3529308448844883,1.2968142574257426,1.4216284356435644
330,1.3575445544554454,1.3111912475247525,1.4401996237623762,1.3696451419141915,1.3111912475247525,1.4401996237623762
340,1.3695799801980197,1.326368,1.45327899009901,1.3830756567656766,1.326368,1.45327899009901
350,1.3789553968253967,1.3391470099009901,1.457759425742574,1.3919539441563202,1.3391470099009901,1.457759425742574
360,1.392665881188119,1.3502817227722772,1.467335603960396,1.4034277359735974,1.3502817227722772,1.467335603960396
370,1.4088124752475246,1.3626401782178217,1.484310613861386,1.4185877557755775,1.3626401782178217,1.484310613861386
380,1.4244732673267326,1.3777495247524751,1.5000996237623763,1.434107471947195,1.3777495247524751,1.5000996237623763
390,1.4362360792079205,1.3936004356435645,1.5121243055555555,1.4473202734690134,1.3936004356435645,1.5121243055555555
400,1.4489069504950496,1.4006350396825398,1.5211662574257425,1.4569027492011106,1.4006350396825398,1.5211662574257425
410,1.4620464356435645,1.4083973267326733,1.5323868118811883,1.4676101914191417,1.4083973267326733,1.5323868118811883
420,1.472727801980198,1.417158099009901,1.5436350891089108,1.4778403300330032,1.417158099009901,1.5436350891089108
430,1.480228594059406,1.427484594059406,1.5494654653465347,1.4857262178217823,1.427484594059406,1.5494654653465347
440,1.4940741584158415,1.4381897227722773,1.5572328316831683,1.496498904290429,1.4381897227722773,1.5572328316831683
450,1.5102146534653467,1.4488732475247525,1.563612396039604,1.5075667656765679,1.4488732475247525,1.563612396039604
460,1.5105379603960396,1.4556635049504951,1.5716889900990099,1.5126301518151815,1.4556635049504951,1.5716889900990099
470,1.5087544950495049,1.4555124158415842,1.5784133663366338,1.5142267590759075,1.4555124158415842,1.5784133663366338
480,1.5176582970297028,1.458197207920792,1.5789982376237623,1.5182845808580858,1.458197207920792,1.5789982376237623
490,1.5263089900990099,1.4619666534653466,1.574559207920792,1.5209449504950492,1.4619666534653466,1.574559207920792
