T,k
25.0,5.826120688149614
40.0,6.583068424793963
60.0,7.398099446491289
80.0,8.076964748635525
100.0,8.58158848069954
120.0,8.996209534664464
140.0,9.31658477951479
160.0,9.5750514853961
180.0,9.762278560058563
200.0,9.93022005068619
220.0,10.032371577275613
240.0,10.110834611733146
260.0,10.177433295429005
280.0,10.212515013230039
300.0,10.230650551475357
320.0,10.25324990187454
340.0,10.278451538622024
360.0,10.272022621924094
380.0,10.258007956990351
400.0,10.236347408723065
420.0,10.237036931046408
440.0,10.208285497330953
460.0,10.162543669458364
480.0,10.156589144984556
500.0,10.109363215498092
520.0,10.08024066057782
540.0,10.060674317648685
560.0,10.031468505953866
580.0,10.00584017661543
600.0,9.99223144994107
620.0,9.960319925668973
640.0,9.949398712089634
660.0,9.941918007468757
680.0,9.882663997746146
700.0,9.85900143555019
720.0,9.871915300427196
740.0,9.83867876270803
760.0,9.845562831422706
780.0,9.85253406438601
800.0,9.835125944451907
820.0,9.883997656472067
840.0,9.884093575513852
860.0,9.826572189949927
880.0,9.917175945759164
900.0,9.992669290891738
920.0,9.968657823611698
940.0,10.157130831615175
960.0,10.186902424387318
980.0,10.385729629894032
1000.0,10.470487837801729
1020.0,10.602975880490234
1040.0,10.663305903547904
1060.0,10.760089513686454
1080.0,11.006071885523346
1100.0,10.989264594183465
1120.0,11.25227041775412
1140.0,11.695589952388316
1160.0,
1180.0,
