Temperature_C,AvgThermCond_WmK,Uncertai95CI_WmK,PercenUncertai95CI,RandomUncertai_sk,SystemUncertai_bk
260,19.9754334333136,1.91669447398217,9.59525849779884,0.815337798198324,0.460410987973326
280,19.9449495297536,1.91356589004529,9.59423781539614,0.814001571009147,0.459708368346423
300,19.9296844692539,1.90257759737678,9.54645117594279,0.808232888275736,0.459356526799219
320,19.9898719576451,1.93661939653621,9.68800300792094,0.825194191454616,0.460743785072907
340,19.9651420843661,1.9418016877875,9.72595977319917,0.828603906268578,0.460173792382947
360,19.9331443006234,1.93492475063401,9.70707240890987,0.825486418872627,0.459436277873609
380,19.9101496759726,1.94103934961035,9.74899426272408,0.828649413510819,0.458906278968543
400,19.831284803891,1.93336264731636,9.74905391372841,0.82560440160896,0.457088528005296
420,19.7855499421371,1.93900173613509,9.80009017594007,0.829329123444722,0.456034397915098
440,19.728013791882,1.93953041242931,9.83135166515049,0.830267871181757,0.454708254737819
460,19.6077680414798,1.92765016848187,9.83105351105732,0.824351962087969,0.451936719146953
480,19.4724228272349,1.9209924206936,9.86519467935353,0.822068334706202,0.448817167848826
500,19.2821411541088,1.91468483829636,9.92983519306082,0.820223135914901,0.444431396658932
520,18.9886088226846,1.88106101797583,9.90626030343323,0.806116333702861,0.437665809292233
540,18.6475450381292,1.88883894765124,10.1291561103034,0.815248464030549,0.429804675122718
560,18.3949480646624,1.90587069698116,10.3608376075953,0.828900791292275,0.423982608325725
580,18.0725823303828,1.91333334723166,10.5869394437067,0.835959697986645,0.416552442797343
600,17.9100580851984,1.89479728535413,10.5795150207808,0.827852162798696,0.412806446288136
620,17.7051243612128,1.89529733518139,10.7047953830445,0.829645798232391,0.408082949401371
640,17.4865085986091,1.88676399468102,10.7898268201526,0.82679379165317,0.40304411192097
660,17.3562679026506,1.88437185902019,10.8570106752755,0.826488521306173,0.400042210120902
680,17.2081296858416,1.91260186982412,11.1145249643124,0.840572744150771,0.396627794019344
700,17.1012882682604,1.86207240521896,10.8884920013595,0.817189606569127,0.394165219995276
720,16.949656763402,1.82861230499732,10.7884916522067,0.801824463624789,0.390670288166035
740,16.7919687505328,1.8325363372316,10.9131714360382,0.805093946224735,0.387035759988873
760,16.6565814280827,1.81701895324664,10.908714738927,0.798311759379003,0.383915236124069
780,16.5559057598897,1.79722879026661,10.8555147409742,0.789087528726985,0.381594774663133
800,16.417457186196,1.79024511668218,10.9045213054519,0.786652312798808,0.378403691551374
820,16.2944590238694,1.78969684497544,10.9834689347695,0.787378041833387,0.375568725844151
840,16.1880424320406,1.75761484167206,10.8574884767614,0.771203796586841,0.373115938380444
860,16.1207823015476,1.76427556422301,10.9441063790908,0.775013434279878,0.37156567602666
880,16.0245036039891,1.75655622467962,10.9616888490845,0.771551407134232,0.369346556373858
900,15.9658922495655,1.74995655492077,10.9605935425776,0.76838776453418,0.367995630776133
920,15.9140788805625,1.76171054082579,11.0701382973384,0.774915628964619,0.366801391344052
940,15.7999836465598,1.75083802375798,11.0812647843417,0.770456632871675,0.364171626455824
960,15.706443621957,1.77829792570828,11.3220915473334,0.785942930157355,0.362015636715748
980,15.5813972989494,1.77233922760332,11.3747130221936,0.78418914606646,0.359133465957971
1000,15.4947795034753,1.7815506639422,11.4977477642881,0.789877281413452,0.35713701729975
1020,15.3966910884287,1.79382335146504,11.6507069029474,0.796929444599237,0.354876193661218
1040,15.3286608501923,1.82104190504386,11.8799804029914,0.810677787219867,0.353308173418429
