Temperature_C,AvgSpeciHeat_J_gK,Uncertai95CI_J_gK,PercenUncertai95CI,RandomUncertai_scp,SystemUncertai_bcp
220,1.10737124579125,0.039393281998605,3.5573690529103,0.00513106863281942,0.0193789968013468
240,1.17284330715875,0.0405485693297358,3.45728786464801,0.00257317592163584,0.0205247578752781
260,1.22170915859079,0.0432571918205982,3.5407111026731,0.00529483104874463,0.0213799102753388
280,1.2509847039578,0.0443185353971753,3.54269202948386,0.00546784885166735,0.0218922323192615
300,1.28050710079085,0.0452121181474715,3.53079792525542,0.0053059915242884,0.0224088742638398
320,1.31404684680135,0.0456881091828228,3.47690109329335,0.00375962631895685,0.0229958198190236
340,1.34112603348902,0.0473003376137496,3.52691219412801,0.00545338162469695,0.0234697055860579
360,1.36680044253744,0.0485430927046621,3.55158596631288,0.00619455330251587,0.0239190077444052
380,1.39221106581888,0.0489470049148456,3.51577473535275,0.00533844087136566,0.0243636936518304
400,1.4131086952862,0.0500849290162423,3.54430831706819,0.00621861645139848,0.0247294021675084
420,1.43567574643881,0.0514618462044323,3.58450341813485,0.00729042006399391,0.0251243255626792
440,1.45631814814815,0.0524094827932883,3.5987660292452,0.00770997961907595,0.0254855675925926
460,1.47103310717303,0.051384180750902,3.49306759313188,0.00486144820975129,0.025743079375528
480,1.48327978281893,0.0516542018403265,3.48243146294079,0.00448089196083573,0.0259573961993314
500,1.48956655555556,0.0512642608609402,3.44155557667045,0.00213876891163841,0.0260674147222222
520,1.48839210668013,0.0525277477639294,3.52916059741092,0.00611916195202171,0.0260468618669022
540,1.48100412068863,0.0567155191053024,3.82953148563362,0.0116986283786233,0.025917572112051
560,1.48040722895623,0.0684348799164966,4.62270641333919,0.0192225192559972,0.025907126506734
580,1.47377290147818,0.0806113743079278,5.46972835686388,0.0244947548382197,0.0257910257758682
600,1.47835574412134,0.0787185917745266,5.32473946731359,0.023741872455374,0.0258712255221235
620,1.47821716498317,0.0841385824237937,5.69189591468125,0.0257875861958865,0.0258688003872054
640,1.47554889281508,0.0875800490458101,5.93542169102397,0.0270143198756454,0.0258221056242638
660,1.48098604882155,0.0898581114480179,6.06745158197269,0.0277838939542888,0.0259172558543771
680,1.48366409939544,0.100898121809308,6.80060411587923,0.0313315687332931,0.0259641217394201
700,1.48906907678501,0.0902808722265398,6.06290692849935,0.0279125910085632,0.0260587088437377
720,1.49021072269218,0.0828347244241619,5.55859135643011,0.0252665028803195,0.0260786876471131
740,1.48989128825951,0.085787924476768,5.75799893272653,0.0263460747641183,0.0260730975445414
760,1.49148946051037,0.0845770400142893,5.67064282072419,0.0259039253182824,0.0261010655589315
780,1.49469421717172,0.0799564164158556,5.34934941858211,0.0241486112649681,0.0261571488005051
800,1.49548708172079,0.0774908439753014,5.18164582780187,0.0231589062409668,0.0261710239301139
820,1.49559741241117,0.0763293584918317,5.10360327307434,0.0226783241346719,0.0261729547171955
840,1.4975477979798,0.0696984143566007,4.65416959983676,0.0196770704716984,0.0262070864646465
860,1.50256386273725,0.0684670987561943,4.55668477421428,0.0190111661478742,0.0262948675979019
880,1.50353292949689,0.0665575851279284,4.4267460873105,0.0179935185197598,0.0263118262661955
900,1.50862150548137,0.0652602597222289,4.32582059085827,0.0172011291529332,0.0264008763459239
920,1.5121342498959,0.0658605490793608,4.35546970012054,0.0174975788966725,0.0264623493731782
940,1.51124430453959,0.067020400398369,4.43478266201223,0.018151834197983,0.0264467753294428
960,1.51144121043771,0.072271780908865,4.78164684208493,0.0207779081659791,0.0264502211826599
980,1.50794769061641,0.0755596483781776,5.01076057534136,0.0222724463240517,0.0263890845857872
1000,1.5077509427244,0.0814387595890875,5.4013403196375,0.024664305599599,0.026385641497677
1020,1.5048101805171,0.0885199875902974,5.88246868185588,0.0272726100963903,0.0263341781590493
1040,1.50544441523769,0.0998592101613875,6.63320473015413,0.0310113101264078,0.0263452772666595
